Review-Body,label
it is very worst product,0
camera quality is not as per,0
camera quality is very poor don,0
overall,0
issue,0
best,0
camera is not good,0
don,0
mobile battery is getting warm,0
not good,0
good,0
very good product,0
good phone with a good configuration,0
i purchased but calling,0
very good,0
ok,0
phone is fast,0
camera is not good according to me,0
good,0
nice product,0
valu money,0
avg phonecamera,0
camera quality is very poor pic looks like photo taken with,0
if you don,0
if the primary functions are giving trouble what,0
was expecting better performance as phone hangs and has many bugs as it reebots automatically to mi screen and repeats in every,0
battery life is goodvery bad experience with finger print scannerhanging is major problemcamera quality is not up to the mark,0
good,0
poor phone,0
inshort this phone have good amoled display,0
display touch screen not good for playing games like free fire,0
this price is good,0
issue,0
flipkart fast delivery,0
battery backup is awesome,0
don,0
this is very useful product camera is good,0
good for the price we pay,0
awesome,0
redmi,0
pro,0
siraaaas siraaaa,0
i am satisfy this product,0
an excellent mobile phone,0
superb product from samsung,0
everything is great about this samsung device and if you are getting it for a bargain or un a deal,0
poor display,0
nice,0
battery backup,0
good,0
call auto record no,0
overall decent phonecamera oklight weightbetter ui,0
camera quality is bad and phone hang a lot,0
going good with my phone,0
below average performance and ui,0
good experience,0
poor built quality,0
some features are not working properly like touch and call waiting,0
issue,0
while i charged battery,0
side fingerprint reader is a nice feature,0
good,0
on an average usage battery will last for almost one and half days,0
the mobile it selfs looks and feel cheap quality,0
camera quality is good,0
my new phone got blank within a month,0
dont buy from,0
phone super but size of display is short battery life one day full used camera super,0
excellent mobile,0
wonderful product,0
nice,0
i bought this device after using a redmi note,0
camera quality is very poor,0
battery life,0
good,0
it was awesome,0
the media could not be loaded,0
after using this phone,0
nice phone,0
good,0
baki jo log lena chahe le skte h overall thk thak h is range mai,0
i look battery life but i don,0
m not satisfied opo a,0
hang problem with in a week better go for higher end or any other company mobiles,0
please dont purchase,0
not good,0
worst phone camera quality worst don,0
speed and overall performance is not upto mark,0
all functions are very good,0
very bad phone,0
display quality very poor and phone hang,0
excellent,0
superb,0
if will use c type charge then good,0
miui version,0
awesome phone,0
ita like okay with the product,0
good,0
phone quality is best,0
selfie camera quality is bad,0
good product,0
camera not good very poor quality,0
phone is hanging every now and then,0
if u wanna waste ur money then purchase it,0
it,0
poor camera quality,0
product has a bad quality,0
i like,0
i like the duet back colour of mobile,0
phone is best in this price of,0
i like it,0
instagram not workingmobile hit mobile hang mobile setting defrent to other android mobile totally not understand,0
i like this and suggest any wqnts to buy it is right choice,0
product are best,0
nice and good looking mobile,0
this is an all rounder specs premium smartphone with a competetive price,0
processor,0
very bad camera,0
its really good,0
front and back camera quality is very bad,0
good products,0
phones bahut jaldi garam hojata hai,0
best phone under,0
good product,0
meray phone ka charger dublicate hay mujay iski complaint karni hai,0
the product lookwise is good,0
the media could not be loaded,0
goods product,0
i bought this product very reasonable in sale,0
camera quality is below than average,0
would be good if front camera has more mega pixels than,0
i bought this phone for its,0
noticeable things,0
good budget smartphone with all the features,0
primesuperb mobile in low price and too good specifications and a trusted brand since last,0
ye phone,0
the media could not be loaded,0
ok,0
worst product and redmi customer care services are very pathetic,0
very nice,0
bad,0
good phone,0
battery backup is greatgood for normal use purposedisplay and camera quality average,0
very good phone under,0
didn,0
waste phone i have buyed ever,0
good product,0
nice phone battery backup is good but it,0
processor is very decent,0
app clone not possible with this miui,0
good,0
after using it for a month,0
thanks to amazon for this product,0
waste of money,0
excellent,0
nice phone,0
big and hangy,0
ok,0
fast charging is not visible,0
nice camera and good display,0
the media could not be loaded,0
it,0
over all phone quality is very good,0
i have purchased so many products from amazon but this phone is not at all working after using,0
good,0
gooood,0
i bought redmi,0
the phone is ok but not satisfied with its camera,0
nice phone,0
value buying and good features with camera,0
phone stopped working after,0
this is the better product when i ordered i was worry thinkin how could it come but when it came it was a amazing,0
the display is the main feature of this phone,0
at first,0
this phone is full of problems and bugs since it has this wiered auto restarting issues,0
real value for money,0
fingerprint is ok and battery life need to improve,0
good product i like very mach phone i was gift my father he like very very much thanku amazon and mi,0
good cheep bekar product cheep bekar product good cheep bekar product good cheep bekar product,0
better than mi smart phones,0
the media could not be loaded,0
under,0
very nice,0
good,0
don,0
super,0
earphone cover kuchh nahin hai iske sath,0
battery life is goodfingerprint moderatecamera good quality,0
os is not as good as mi,0
heating,0
super amazingly slow phone,0
dislike,0
great phone for medium usage,0
camera good,0
better models and better features availble in realme with these price,0
better than nord ce,0
product is good bettery life not good,0
already told in one line,0
fingerprint reader works perfect only for,0
phone is hang is again and again,0
iqoo could include wide angle lens,0
within fifteen days of use,0
best,0
colour is not at all good,0
there class product camera is odnery noquwality,0
very nice phone and good looking mobile phone,0
tooo bad,0
good,0
very good,0
valve for money,0
excellent,0
to worrest,0
not bad enough,0
phone is awesome,0
i faced ram quory becoz there was nothing in the phone but it has taken,0
dont but this phone,0
nice phone,0
like,0
price is high but phone is good lookjngbattry bacup is good i like this phonenice speed and light weight,0
nice,0
good,0
nice,0
yaad nahi ki kab liya,0
very very worst phone pls don,0
super,0
good design and colourbattery backup is goodgood work team iqoo,0
very good,0
love it,0
the media could not be loaded,0
worth it,0
overall very good phone in budget,0
nice,0
very very good product at reasonable price this phone i gifted to my father with my first salary he is so happy to use that,0
everything about it is good,0
whatsup message voice search message not working,0
good,0
nice product,0
after long,0
ok,0
issue,0
finding difficult to get familiar with uiget less network as it,0
overall good phone,0
very bad quality,0
prosgood battery lifeexcellent by looksdecent selfie camabove average back camnight mode is good,0
it,0
really worth buying if soft use,0
it,0
the most disgusting this of this device is the charging,0
camara,0
the media could not be loaded,0
after using a weak overall experience is excellent,0
ther is no silicon cover and headset in the box but in your add these are mentioned,0
bluetooth not working properly and camera quality not good,0
nice,0
nice,0
touch is slow,0
good,0
the media could not be loaded,0
descent phone,0
quality is poor,0
camera quality is not good as per prise rate,0
except camera quality everythign is great,0
worst phone ever go for samsung m,0
poor camera,0
average samsung phone,0
it,0
getting blank screen frequently,0
not a value for money device,0
for someone with basic use like social media and low,0
good product,0
the same phone is being sold as poco m,0
after switch on the phone and display come out samsung company name,0
good quality phone,0
i would suggest you to not get a phone like this for,0
it,0
headset missing,0
good,0
good features,0
phone is hanging and speed is very slow,0
not a handy device camera is average not my expectations network also,0
very nice products,0
phone is good but on performance and look not too much good,0
like,0
light weight working good,0
it,0
it would have been nice if the company had given amoled screen with good stereo speaker,0
better quality for the price,0
good phone,0
like the product,0
i bought this phone for,0
good feel,0
in the long run,0
best phone,0
good camera features,0
very bed productcemera quilty wrostcharging very slow,0
fingerprint,0
nice,0
quality is lost,0
camera quality,0
processor is quite slow,0
really nice product and value for money,0
decent product at this price range don,0
good product,0
phone is hanging up from the day one,0
sometimes hanged,0
the media could not be loaded,0
everything is top notch,0
issue,0
finger print easy to work,0
all specs on top,0
so,0
very bad phone in terms of display quality,0
processor is normal working,0
it was broken and iwas unable to get return option,0
i am purchese on octomber,0
issue,0
phone volume is pathetic,0
i am purchased oneplus nord ce,0
battery life god,0
i,0
over all good,0
the media could not be loaded,0
excellent phone with lots of superb things,0
it worked fine for,0
