,Review-Body,label
0,it is very worst product,0
3477,camera quality is not as per,0
3476,camera quality is very poor don,0
3475,overall,0
3474,,0
3473,best,0
3472,camera is not good,0
3471,don,0
3470,mobile battery is getting warm,0
3469,not good,0
3468,good,0
3467,very good product,0
3466,good phone with a good configuration,0
3465,i purchased but calling,0
3464,very good,0
3463,ok,0
3478,phone is fast,0
3479,camera is not good according to me,0
3480,good,0
3481,nice product,0
3499,valu money,0
3498,avg phonecamera,0
3496,camera quality is very poor pic looks like photo taken with,0
3494,if you don,0
3493,if the primary functions are giving trouble what,0
3492,was expecting better performance as phone hangs and has many bugs as it reebots automatically to mi screen and repeats in every,0
3491,battery life is goodvery bad experience with finger print scannerhanging is major problemcamera quality is not up to the mark,0
3462,good,0
3490,poor phone,0
3488,inshort this phone have good amoled display,0
3487,display touch screen not good for playing games like free fire,0
3486,this price is good,0
3485,,0
3484,flipkart fast delivery,0
3483,battery backup is awesome,0
3482,don,0
3489,this is very useful product camera is good,0
3461,good for the price we pay,0
3460,awesome,0
3459,redmi,0
3438,pro,0
3437,siraaaas siraaaa,0
3436,i am satisfy this product,0
3435,an excellent mobile phone,0
3434,superb product from samsung,0
3433,everything is great about this samsung device and if you are getting it for a bargain or un a deal,0
3432,poor display,0
3439,nice,0
3431,battery backup,0
3428,good,0
3427,call auto record no,0
3426,overall decent phonecamera oklight weightbetter ui,0
3425,camera quality is bad and phone hang a lot,0
3424,going good with my phone,0
3423,below average performance and ui,0
3422,good experience,0
3429,poor built quality,0
3500,some features are not working properly like touch and call waiting,0
3440,,0
3442,while i charged battery,0
3458,side fingerprint reader is a nice feature,0
3457,good,0
3456,on an average usage battery will last for almost one and half days,0
3455,the mobile it selfs looks and feel cheap quality,0
3454,camera quality is good,0
3453,my new phone got blank within a month,0
3452,dont buy from,0
3441,phone super but size of display is short battery life one day full used camera super,0
3451,excellent mobile,0
3449,wonderful product,0
3448,nice,0
3447,i bought this device after using a redmi note,0
3446,camera quality is very poor,0
3445,battery life,0
3444,good,0
3443,it was awesome,0
3450,the media could not be loaded,0
3501,after using this phone,0
3502,nice phone,0
3503,good,0
8637,baki jo log lena chahe le skte h overall thk thak h is range mai,0
8636,i look battery life but i don,0
8635,m not satisfied opo a,0
8634,hang problem with in a week better go for higher end or any other company mobiles,0
8633,please dont purchase,0
8632,not good,0
8631,worst phone camera quality worst don,0
8638,speed and overall performance is not upto mark,0
8629,all functions are very good,0
8627,very bad phone,0
8626,display quality very poor and phone hang,0
8625,excellent,0
8624,superb,0
8623,if will use c type charge then good,0
8622,miui version,0
8621,awesome phone,0
8628,ita like okay with the product,0
8620,good,0
8639,phone quality is best,0
8641,selfie camera quality is bad,0
8657,good product,0
8656,camera not good very poor quality,0
8655,phone is hanging every now and then,0
8654,if u wanna waste ur money then purchase it,0
8653,it,0
8652,poor camera quality,0
8651,product has a bad quality,0
8640,i like,0
8650,i like the duet back colour of mobile,0
8648,phone is best in this price of,0
8647,i like it,0
8646,instagram not workingmobile hit mobile hang mobile setting defrent to other android mobile totally not understand,0
8645,i like this and suggest any wqnts to buy it is right choice,0
8644,product are best,0
8643,nice and good looking mobile,0
8642,this is an all rounder specs premium smartphone with a competetive price,0
8649,processor,0
3421,very bad camera,0
8619,its really good,0
8617,front and back camera quality is very bad,0
3520,good products,0
3518,phones bahut jaldi garam hojata hai,0
3517,best phone under,0
3516,good product,0
3515,meray phone ka charger dublicate hay mujay iski complaint karni hai,0
3514,the product lookwise is good,0
3513,the media could not be loaded,0
3521,goods product,0
3512,i bought this product very reasonable in sale,0
3510,camera quality is below than average,0
3509,would be good if front camera has more mega pixels than,0
3508,i bought this phone for its,0
3507,noticeable things,0
3506,good budget smartphone with all the features,0
3505,primesuperb mobile in low price and too good specifications and a trusted brand since last,0
3504,ye phone,0
3511,the media could not be loaded,0
8618,ok,0
3522,worst product and redmi customer care services are very pathetic,0
3524,very nice,0
8616,bad,0
8615,good phone,0
8614,battery backup is greatgood for normal use purposedisplay and camera quality average,0
8613,very good phone under,0
14180,didn,0
3535,waste phone i have buyed ever,0
3534,good product,0
3523,nice phone battery backup is good but it,0
3533,processor is very decent,0
3531,app clone not possible with this miui,0
3530,good,0
3529,after using it for a month,0
3528,thanks to amazon for this product,0
3527,waste of money,0
3526,excellent,0
3525,nice phone,0
3532,big and hangy,0
8658,ok,0
3420,fast charging is not visible,0
3418,nice camera and good display,0
3313,the media could not be loaded,0
3312,it,0
3311,over all phone quality is very good,0
3310,i have purchased so many products from amazon but this phone is not at all working after using,0
3309,good,0
3308,gooood,0
3307,i bought redmi,0
3306,the phone is ok but not satisfied with its camera,0
3305,nice phone,0
3304,value buying and good features with camera,0
3303,phone stopped working after,0
3302,this is the better product when i ordered i was worry thinkin how could it come but when it came it was a amazing,0
3301,the display is the main feature of this phone,0
3300,at first,0
3299,this phone is full of problems and bugs since it has this wiered auto restarting issues,0
3314,real value for money,0
3315,fingerprint is ok and battery life need to improve,0
3316,good product i like very mach phone i was gift my father he like very very much thanku amazon and mi,0
3317,good cheep bekar product cheep bekar product good cheep bekar product good cheep bekar product,0
3333,better than mi smart phones,0
3332,the media could not be loaded,0
3331,under,0
3330,very nice,0
3329,good,0
3328,don,0
3327,super,0
3298,earphone cover kuchh nahin hai iske sath,0
3326,battery life is goodfingerprint moderatecamera good quality,0
3324,os is not as good as mi,0
3323,heating,0
3322,super amazingly slow phone,0
3321,dislike,0
3320,great phone for medium usage,0
3319,camera good,0
3318,better models and better features availble in realme with these price,0
3325,better than nord ce,0
3297,product is good bettery life not good,0
3296,already told in one line,0
3295,fingerprint reader works perfect only for,0
3274,phone is hang is again and again,0
3273,iqoo could include wide angle lens,0
3272,within fifteen days of use,0
3271,best,0
3270,colour is not at all good,0
3269,there class product camera is odnery noquwality,0
3268,very nice phone and good looking mobile phone,0
3275,tooo bad,0
3267,good,0
3265,very good,0
3264,valve for money,0
3263,excellent,0
3262,to worrest,0
3261,not bad enough,0
3260,phone is awesome,0
3259,i faced ram quory becoz there was nothing in the phone but it has taken,0
3266,dont but this phone,0
3334,nice phone,0
3276,like,0
3278,price is high but phone is good lookjngbattry bacup is good i like this phonenice speed and light weight,0
3294,nice,0
3293,good,0
3292,nice,0
3291,yaad nahi ki kab liya,0
3290,very very worst phone pls don,0
3289,super,0
3288,good design and colourbattery backup is goodgood work team iqoo,0
3277,very good,0
3287,love it,0
3285,the media could not be loaded,0
3284,worth it,0
3283,overall very good phone in budget,0
3282,nice,0
3281,very very good product at reasonable price this phone i gifted to my father with my first salary he is so happy to use that,0
3280,everything about it is good,0
3279,whatsup message voice search message not working,0
3286,good,0
3336,nice product,0
3337,after long,0
3338,ok,0
3396,,0
3395,finding difficult to get familiar with uiget less network as it,0
3394,overall good phone,0
3392,very bad quality,0
3391,prosgood battery lifeexcellent by looksdecent selfie camabove average back camnight mode is good,0
3390,it,0
3389,really worth buying if soft use,0
3397,it,0
3388,the most disgusting this of this device is the charging,0
3386,camara,0
3385,the media could not be loaded,0
3384,after using a weak overall experience is excellent,0
3383,ther is no silicon cover and headset in the box but in your add these are mentioned,0
3382,bluetooth not working properly and camera quality not good,0
3381,nice,0
3380,nice,0
3387,touch is slow,0
3379,good,0
3398,the media could not be loaded,0
3400,descent phone,0
3417,quality is poor,0
3416,camera quality is not good as per prise rate,0
3415,except camera quality everythign is great,0
3414,worst phone ever go for samsung m,0
3412,poor camera,0
3411,average samsung phone,0
3410,it,0
3399,getting blank screen frequently,0
3409,not a value for money device,0
3407,for someone with basic use like social media and low,0
3406,good product,0
3405,the same phone is being sold as poco m,0
3404,after switch on the phone and display come out samsung company name,0
3403,good quality phone,0
3402,i would suggest you to not get a phone like this for,0
3401,it,0
3408,headset missing,0
3419,good,0
3378,good features,0
3376,phone is hanging and speed is very slow,0
3354,not a handy device camera is average not my expectations network also,0
3353,very nice products,0
3352,phone is good but on performance and look not too much good,0
3351,like,0
3350,light weight working good,0
3349,it,0
3348,it would have been nice if the company had given amoled screen with good stereo speaker,0
3355,better quality for the price,0
3347,good phone,0
3345,like the product,0
3344,i bought this phone for,0
3343,good feel,0
3342,in the long run,0
3341,best phone,0
3340,good camera features,0
3339,very bed productcemera quilty wrostcharging very slow,0
3346,fingerprint,0
3377,nice,0
3356,quality is lost,0
3358,camera quality,0
3375,processor is quite slow,0
3374,really nice product and value for money,0
3373,decent product at this price range don,0
3372,good product,0
3371,phone is hanging up from the day one,0
3370,sometimes hanged,0
3369,the media could not be loaded,0
3357,everything is top notch,0
3368,,0
3366,finger print easy to work,0
3365,all specs on top,0
3364,so,0
3363,very bad phone in terms of display quality,0
3361,processor is normal working,0
3360,it was broken and iwas unable to get return option,0
3359,i am purchese on octomber,0
3367,,0
8659,phone volume is pathetic,0
8660,i am purchased oneplus nord ce,0
8661,battery life god,0
8881,i,0
8880,over all good,0
8879,the media could not be loaded,0
8878,excellent phone with lots of superb things,0
8877,it worked fine for,0
8875,not satisfied this product is lower quality,0
8873,good,0
8872,very nice phone and good battery life but camera is not good,0
8871,nic phone in these price,0
8870,waste mobile,0
8869,average phone but costly,0
8868,good,0
8867,you could mention,0
8866,super quality all mobile phone very good battary backup camera smoodness,0
8865,worsted camera quilty,0
8882,good,0
8883,video braking problem how to returned this set,0
8884,good,0
8885,camera,0
8901,good performance,0
8900,i am recommend,0
8899,i just received the product today and i,0
8898,it,0
8897,nice,0
8896,super fast charging,0
8895,phone looking is good but camera is normally camera,0
8864,amazing,0
8894,battery not charge in,0
8892,nice,0
8891,best ever wrost phone,0
8890,note good,0
8889,i have purchased a realme narzo,0
8888,bad product experience from the start,0
8887,front camera not as per quality expected,0
8886,battery backup is good,0
8893,super,0
8863,nice,0
8862,don,0
8861,good and useful product,0
8840,good nothing to complain about based on price point and features provided,0
8839,beyond expectations,0
8838,light weight,0
8837,good phone with offers with average camera,0
8836,this phone can use for basic users,0
8835,value for money,0
8834,excellent performance,0
8841,everything good,0
8833,ok,0
8831,very good mobile,0
8830,excellent,0
8829,nise,0
8828,previously i am using poco f,0
8827,very slow device with old android version,0
8825,the media could not be loaded,0
8824,good product,0
8832,waste money and bekar,0
8902,phone getting slow or hang and getting heated battery while charging,0
8842,very worst mobile,0
8844,fantastic,0
8860,battery percentage increase only,0
8859,it is worthless and very slow phone,0
8858,good,0
8857,redmi,0
8856,osmmmm mobile,0
8855,back camera not clear,0
8854,worst display and camerait,0
8843,amazing product,0
8853,nice phone go for it,0
8851,nice,0
8850,good product value for money,0
8849,bad bad,0
8848,charger not working,0
8847,worest,0
8846,very poor quality camera,0
8845,good,0
8852,proccesing very slow,0
8903,dislike,0
8904,value for money but camera and touch senses are not good,0
8905,camera quality is bad,0
8961,wowww,0
8960,kadak,0
8959,not clear,0
8958,good,0
8957,value for money,0
8956,good,0
8955,camera quality very bad,0
8962,i bought this in,0
8954,please do not buy this mobile it,0
8952,super,0
8951,batter but betteri rhoda kam,0
8950,screen display is not good and having vibration,0
8949,meet the expectations,0
8948,good one,0
8947,very good phone,0
8946,worst mobile,0
8953,mha fuddu phone,0
8945,mob over heated or hot using many times,0
8963,i never expect this kind of product from oneplus,0
8965,display very good and awesome working and cemera is very good nic phone a,0
8981,the media could not be loaded,0
8980,all features are very good and battery is good,0
8979,all good but heating prblm only,0
8978,awesome,0
8977,brightness is very lowonly use for night time,0
8976,please upgrade for battery life,0
8975,super,0
8964,it has serious hang issue as well as network problem,0
8974,nice phone,0
8972,it,0
8971,its very simple,0
8970,excellent mobile,0
8969,five star,0
8968,good phone,0
8967,a series oppo phones have a big problems of hanging,0
8966,i had ordered this phone on,0
8973,as oneplus gives you very good user experience,0
8823,worest this rating only for amazon exchange,0
8944,the worst phone,0
8942,very smooth and nice performance,0
8921,not display shows,0
8920,all good quality,0
8919,camera is worst and,0
8918,the media could not be loaded,0
8917,very good,0
8916,good product,0
8915,oppo a,0
8922,camera is not up to mark stating,0
8914,simply the best,0
8912,gud quality,0
8911,cost friendly product,0
8910,nice mobile for grabbing with best price,0
8909,according to the price mobile is very good camera and very good,0
8908,napasand,0
8907,i,0
8906,it,0
8913,i like it,0
8943,very bad,0
8923,very nice product,0
8925,nice phone,0
8941,good,0
8940,very good battery,0
8939,not satisfied,0
8938,good,0
8937,bekar mobile hai battery proformmance is bad,0
8936,waste product,0
8935,nice product,0
8924,worst item mobile battery was worst and mobile talking,0
8934,value for money products but selfie camera is average,0
8932,supreme phone,0
8931,best phone,0
8930,the media could not be loaded,0
8929,facing problem with sim slots,0
8928,great,0
8927,it works very well,0
8926,product is very good,0
8933,i love this device performance and camera with battery nice,0
8822,very nice,0
8821,ram is super,0
8820,bakwash tolally money west,0
8717,the media could not be loaded,0
8716,best quality,0
8715,after two weeks of usage,0
8714,best,0
8713,the best,0
8712,marvelous,0
8711,i brought it one month back,0
8718,the media could not be loaded,0
8710,like,0
8708,very nice,0
8707,battery life is good,0
8706,front camera not ok,0
8705,not good,0
8704,camera quality low,0
8703,calls can,0
8702,good camera,0
8709,dislike,0
8701,good,0
8719,satisfy with the product,0
8721,happy,0
8737,good,0
8736,good mobile,0
8735,bad performance i want money back,0
8734,very good,0
8733,visit dish,0
8732,phone is getting hanged and struckneed replacement,0
8731,don,0
8720,battery life great,0
8730,,0
8728,not expected this,0
8727,most bakwaas phone ever highly expensive but no any special feature waste of money,0
8726,superb product at reasonable price,0
8725,poor display quality and display brightness is very dull,0
8724,front camera quality is bad and there are time it doesn,0
8723,worst mobile hanging,0
8722,iam happy this item purchased good quality screen camera,0
8729,amezing,0
8738,good one,0
8700,good,0
8698,ok,0
8677,nice,0
8676,first time bought gaget online,0
8675,worst,0
8674,the media could not be loaded,0
8673,nice model,0
8672,nice,0
8671,worst of camera,0
8678,wrost phone ever,0
8670,overall performance of this phone is good,0
8668,superb camera quality,0
8667,it,0
8666,speak,0
8665,nice mobile smooth and big screen but camera is not good,0
8664,nice phone,0
8663,unsure what happened,0
8662,like,0
8669,don,0
8699,ok but as compared to price,0
8679,i am satisfy with this,0
8681,guys don,0
8697,i got my delivery on,0
8696,it,0
8695,please don,0
8694,camera clarity is very bad,0
8693,good phone with fantastic battery life but camera could be more better,0
8692,very good product in less price,0
8691,good,0
8680,poorest camera,0
8690,good,0
8688,this is the best quality of phone,0
8687,bettrey life is low and mobile processer is very good,0
8686,money fully west camra quality and voice is very poor quality i think realme products is not a good,0
8685,bought this for my mother who doesn,0
8684,earphone missing,0
8683,all is very good,0
